n_articulo,topico
2,Principios y disposiciones generales
9,Principios y disposiciones generales
14,Principios y disposiciones generales
11,Principios y disposiciones generales
16,Principios y disposiciones generales
10,Principios y disposiciones generales
3,Principios y disposiciones generales
5,Principios y disposiciones generales
13,Principios y disposiciones generales
6,Principios y disposiciones generales
7,Principios y disposiciones generales
4,Principios y disposiciones generales
15,Principios y disposiciones generales
12,Principios y disposiciones generales
8,Principios y disposiciones generales
1,Principios y disposiciones generales
17,Sobre los derechos
19,Sobre los derechos
18,Sobre los derechos
20,Sobre los derechos
79,Derechos fundamentales
59,Derechos fundamentales
48,Derechos fundamentales
35,Derechos fundamentales
89,Derechos fundamentales
39,Derechos fundamentales
62,Derechos fundamentales
86,Derechos fundamentales
71,Derechos fundamentales
110,Derechos fundamentales
100,Derechos fundamentales
49,Derechos fundamentales
88,Derechos fundamentales
25,Derechos fundamentales
76,Derechos fundamentales
51,Derechos fundamentales
54,Derechos fundamentales
77,Derechos fundamentales
52,Derechos fundamentales
30,Derechos fundamentales
95,Derechos fundamentales
50,Derechos fundamentales
61,Derechos fundamentales
29,Derechos fundamentales
33,Derechos fundamentales
93,Derechos fundamentales
85,Derechos fundamentales
91,Derechos fundamentales
58,Derechos fundamentales
96,Derechos fundamentales
81,Derechos fundamentales
53,Derechos fundamentales
47,Derechos fundamentales
32,Derechos fundamentales
94,Derechos fundamentales
21,Derechos fundamentales
26,Derechos fundamentales
98,Derechos fundamentales
65,Derechos fundamentales
105,Derechos fundamentales
45,Derechos fundamentales
42,Derechos fundamentales
36,Derechos fundamentales
24,Derechos fundamentales
40,Derechos fundamentales
67,Derechos fundamentales
92,Derechos fundamentales
87,Derechos fundamentales
27,Derechos fundamentales
80,Derechos fundamentales
83,Derechos fundamentales
57,Derechos fundamentales
46,Derechos fundamentales
38,Derechos fundamentales
34,Derechos fundamentales
97,Derechos fundamentales
68,Derechos fundamentales
90,Derechos fundamentales
64,Derechos fundamentales
28,Derechos fundamentales
31,Derechos fundamentales
78,Derechos fundamentales
73,Derechos fundamentales
74,Derechos fundamentales
56,Derechos fundamentales
72,Derechos fundamentales
37,Derechos fundamentales
44,Derechos fundamentales
23,Derechos fundamentales
66,Derechos fundamentales
69,Derechos fundamentales
55,Derechos fundamentales
75,Derechos fundamentales
43,Derechos fundamentales
103,Derechos fundamentales
84,Derechos fundamentales
63,Derechos fundamentales
41,Derechos fundamentales
99,Derechos fundamentales
106,Derechos fundamentales
113,Derechos fundamentales
102,Derechos fundamentales
108,Derechos fundamentales
82,Derechos fundamentales
70,Derechos fundamentales
22,Derechos fundamentales
101,Derechos fundamentales
109,Derechos fundamentales
104,Derechos fundamentales
60,Derechos fundamentales
111,Derechos fundamentales
107,Derechos fundamentales
112,Derechos fundamentales
118,Nacionalidad y ciudadanía
115,Nacionalidad y ciudadanía
114,Nacionalidad y ciudadanía
116,Nacionalidad y ciudadanía
117,Nacionalidad y ciudadanía
119,Acciones constitucionales
121,Acciones constitucionales
120,Acciones constitucionales
122,Acciones constitucionales
123,Defensoría del Pueblo y de la Niñez
126,Defensoría del Pueblo y de la Niñez
125,Defensoría del Pueblo y de la Niñez
124,Defensoría del Pueblo y de la Niñez
127,Derechos de la naturaleza
133,Derechos de la naturaleza
129,Derechos de la naturaleza
130,Derechos de la naturaleza
131,Derechos de la naturaleza
132,Derechos de la naturaleza
128,Derechos de la naturaleza
135,Bienes comunes naturales
137,Bienes comunes naturales
138,Bienes comunes naturales
136,Bienes comunes naturales
139,Bienes comunes naturales
134,Bienes comunes naturales
143,Estatuto de las aguas
141,Estatuto de las aguas
140,Estatuto de las aguas
142,Estatuto de las aguas
144,Estatuto de las aguas
146,Estatuto de los minerales
145,Estatuto de los minerales
147,Estatuto de los minerales
150,Defensoría de la Naturaleza
149,Defensoría de la Naturaleza
148,Defensoría de la Naturaleza
151,Tipos de democracia
155,Participación y representación
159,Participación y representación
154,Participación y representación
157,Participación y representación
152,Participación y representación
158,Participación y representación
156,Participación y representación
153,Participación y representación
164,Sufragio y sistema electoral
161,Sufragio y sistema electoral
160,Sufragio y sistema electoral
163,Sufragio y sistema electoral
162,Sufragio y sistema electoral
169,Buen gobierno y función pública
175,Buen gobierno y función pública
182,Buen gobierno y función pública
180,Buen gobierno y función pública
179,Buen gobierno y función pública
166,Buen gobierno y función pública
171,Buen gobierno y función pública
176,Buen gobierno y función pública
173,Buen gobierno y función pública
172,Buen gobierno y función pública
183,Buen gobierno y función pública
178,Buen gobierno y función pública
184,Buen gobierno y función pública
186,Buen gobierno y función pública
170,Buen gobierno y función pública
177,Buen gobierno y función pública
167,Buen gobierno y función pública
165,Buen gobierno y función pública
185,Buen gobierno y función pública
174,Buen gobierno y función pública
181,Buen gobierno y función pública
168,Buen gobierno y función pública
197,Organización territorial
191,Organización territorial
195,Organización territorial
194,Organización territorial
193,Organización territorial
188,Organización territorial
187,Organización territorial
190,Organización territorial
192,Organización territorial
198,Organización territorial
189,Organización territorial
200,Organización territorial
196,Organización territorial
199,Organización territorial
217,Comuna autónoma
207,Comuna autónoma
213,Comuna autónoma
210,Comuna autónoma
211,Comuna autónoma
205,Comuna autónoma
208,Comuna autónoma
203,Comuna autónoma
212,Comuna autónoma
206,Comuna autónoma
202,Comuna autónoma
204,Comuna autónoma
216,Comuna autónoma
215,Comuna autónoma
201,Comuna autónoma
214,Comuna autónoma
209,Comuna autónoma
218,Provincia
227,Región autónoma
229,Región autónoma
225,Región autónoma
222,Región autónoma
230,Región autónoma
232,Región autónoma
221,Región autónoma
224,Región autónoma
233,Región autónoma
226,Región autónoma
228,Región autónoma
223,Región autónoma
231,Región autónoma
219,Región autónoma
220,Región autónoma
234,Autonomías territoriales indígenas
235,Autonomías territoriales indígenas
240,Territorios especiales
239,Territorios especiales
236,Territorios especiales
238,Territorios especiales
237,Territorios especiales
243,Ruralidad
242,Ruralidad
241,Ruralidad
245,Autonomía fiscal
248,Autonomía fiscal
244,Autonomía fiscal
247,Autonomía fiscal
246,Autonomía fiscal
250,Autonomía fiscal
249,Autonomía fiscal
255,Poder legislativo
252,Poder legislativo
259,Poder legislativo
251,Poder legislativo
254,Poder legislativo
262,Poder legislativo
260,Poder legislativo
258,Poder legislativo
256,Poder legislativo
263,Poder legislativo
253,Poder legislativo
257,Poder legislativo
261,Poder legislativo
274,Proceso de creación de leyes
272,Proceso de creación de leyes
273,Proceso de creación de leyes
266,Proceso de creación de leyes
277,Proceso de creación de leyes
267,Proceso de creación de leyes
269,Proceso de creación de leyes
264,Proceso de creación de leyes
265,Proceso de creación de leyes
276,Proceso de creación de leyes
278,Proceso de creación de leyes
271,Proceso de creación de leyes
275,Proceso de creación de leyes
270,Proceso de creación de leyes
268,Proceso de creación de leyes
281,Poder ejecutivo
297,Poder ejecutivo
301,Poder ejecutivo
286,Poder ejecutivo
279,Poder ejecutivo
296,Poder ejecutivo
294,Poder ejecutivo
295,Poder ejecutivo
302,Poder ejecutivo
292,Poder ejecutivo
283,Poder ejecutivo
303,Poder ejecutivo
289,Poder ejecutivo
299,Poder ejecutivo
304,Poder ejecutivo
305,Poder ejecutivo
280,Poder ejecutivo
293,Poder ejecutivo
300,Poder ejecutivo
298,Poder ejecutivo
287,Poder ejecutivo
306,Poder ejecutivo
284,Poder ejecutivo
290,Poder ejecutivo
282,Poder ejecutivo
291,Poder ejecutivo
285,Poder ejecutivo
288,Poder ejecutivo
326,Sistemas de justicia
329,Sistemas de justicia
336,Sistemas de justicia
327,Sistemas de justicia
341,Sistemas de justicia
318,Sistemas de justicia
317,Sistemas de justicia
322,Sistemas de justicia
338,Sistemas de justicia
330,Sistemas de justicia
311,Sistemas de justicia
337,Sistemas de justicia
331,Sistemas de justicia
324,Sistemas de justicia
316,Sistemas de justicia
315,Sistemas de justicia
328,Sistemas de justicia
310,Sistemas de justicia
335,Sistemas de justicia
323,Sistemas de justicia
339,Sistemas de justicia
314,Sistemas de justicia
319,Sistemas de justicia
320,Sistemas de justicia
332,Sistemas de justicia
309,Sistemas de justicia
308,Sistemas de justicia
333,Sistemas de justicia
313,Sistemas de justicia
334,Sistemas de justicia
325,Sistemas de justicia
340,Sistemas de justicia
321,Sistemas de justicia
312,Sistemas de justicia
307,Sistemas de justicia
342,Consejo de la Justicia
343,Consejo de la Justicia
344,Consejo de la Justicia
342,Consejo de la Justicia
346,Consejo de la Justicia
349,Consejo de la Justicia
347,Consejo de la Justicia
345,Consejo de la Justicia
348,Consejo de la Justicia
350,Órganos autónomos constitucionales
353,Contraloría general de la república
351,Contraloría general de la república
355,Contraloría general de la república
354,Contraloría general de la república
352,Contraloría general de la república
356,Contraloría general de la república
361,Banco Central
362,Banco Central
358,Banco Central
364,Banco Central
363,Banco Central
360,Banco Central
359,Banco Central
357,Banco Central
365,Ministerio Público
371,Ministerio Público
370,Ministerio Público
367,Ministerio Público
366,Ministerio Público
372,Ministerio Público
368,Ministerio Público
369,Ministerio Público
373,Defensoría Penal Pública
375,Defensoría Penal Pública
374,Defensoría Penal Pública
376,Agencia Nacional de Protección de Datos
381,Corte Constitucional
380,Corte Constitucional
378,Corte Constitucional
377,Corte Constitucional
379,Corte Constitucional
382,Corte Constitucional
384,Reforma Constitucional
385,Reforma Constitucional
383,Reforma Constitucional
386,Cambio de Constitución
388,Cambio de Constitución
387,Cambio de Constitución
